predict-value,PSI-value
61.53333333333333,60
61.53333333333333,59
61.13333333333333,59
61.0,59
60.86666666666667,59
60.733333333333334,60
60.733333333333334,61
60.93333333333333,61
60.93333333333333,61
60.46666666666667,61
59.93333333333333,60
59.86666666666667,60
59.46666666666667,57
58.93333333333333,56
58.06666666666667,55
57.53333333333333,54
57.06666666666667,53
56.666666666666664,52
55.13333333333333,51
54.333333333333336,51
53.266666666666666,50
51.8,49
50.13333333333333,49
49.06666666666667,49
47.86666666666667,49
47.0,45
45.733333333333334,43
44.53333333333333,39
42.53333333333333,35
40.2,33
37.13333333333333,33
34.733333333333334,33
35.0,34
34.53333333333333,36
34.2,37
34.86666666666667,37
35.46666666666667,36
35.4,36
35.2,38
34.93333333333333,40
34.6,40
35.266666666666666,41
35.53333333333333,41
36.6,41
38.0,41
38.666666666666664,41
40.733333333333334,41
41.8,42
42.666666666666664,45
43.266666666666666,52
45.8,56
51.666666666666664,59
53.2,66
54.13333333333333,73
54.8,78
55.53333333333333,81
59.13333333333333,85
61.06666666666667,87
62.0,91
62.8,94
63.266666666666666,96
63.666666666666664,98
63.666666666666664,100
64.0,104
64.13333333333334,107
64.0,107
64.0,108
63.733333333333334,108
63.333333333333336,108
63.4,108
63.0,108
62.93333333333333,105
62.6,104
62.53333333333333,104
62.333333333333336,103
62.333333333333336,98
62.0,93
61.53333333333333,88
61.13333333333333,86
60.8,85
60.4,83
60.13333333333333,81
59.86666666666667,78
59.8,76
60.0,76
60.13333333333333,77
60.4,75
60.733333333333334,72
60.8,72
60.8,73
61.0,73
61.0,74
61.333333333333336,74
61.333333333333336,75
61.2,75
61.53333333333333,75
61.53333333333333,74
62.13333333333333,73
62.86666666666667,73
62.86666666666667,72
62.86666666666667,71
61.733333333333334,70
61.06666666666667,68
61.0,68
60.666666666666664,69
60.4,71
60.4,72
60.4,72
60.53333333333333,72
61.0,74
61.46666666666667,75
62.333333333333336,77
63.06666666666667,79
64.0,79
64.0,79
64.0,81
64.0,82
64.0,82
63.93333333333333,82
63.53333333333333,81
63.4,79
63.4,78
62.53333333333333,78
62.4,77
62.4,77
62.0,76
61.93333333333333,76
61.53333333333333,74
61.13333333333333,71
60.8,68
60.4,66
60.0,64
59.8,61
59.733333333333334,60
59.6,58
59.46666666666667,56
59.266666666666666,55
59.0,54
58.4,52
58.0,49
56.8,45
56.06666666666667,43
54.93333333333333,43
53.666666666666664,44
51.53333333333333,43
50.333333333333336,43
48.266666666666666,45
47.733333333333334,44
46.266666666666666,44
45.06666666666667,45
44.333333333333336,48
44.93333333333333,51
47.2,52
49.4,52
50.86666666666667,53
50.666666666666664,53
52.0,54
52.06666666666667,54
53.13333333333333,55
54.0,55
54.333333333333336,55
54.733333333333334,56
55.266666666666666,56
55.4,57
55.666666666666664,56
55.86666666666667,56
55.733333333333334,56
55.93333333333333,56
56.333333333333336,57
56.666666666666664,56
56.53333333333333,57
56.266666666666666,57
55.93333333333333,57
55.4,57
55.333333333333336,56
56.266666666666666,56
56.333333333333336,55
55.86666666666667,54
54.666666666666664,54
54.13333333333333,54
54.333333333333336,54
54.06666666666667,55
54.6,55
54.733333333333334,56
55.2,56
55.2,56
55.2,57
55.266666666666666,57
55.666666666666664,57
55.733333333333334,57
56.2,57
56.2,57
56.2,57
56.333333333333336,58
56.6,58
56.93333333333333,57
57.06666666666667,56
57.0,55
57.13333333333333,55
56.4,55
55.53333333333333,56
54.86666666666667,56
54.333333333333336,56
55.0,56
55.46666666666667,55
55.333333333333336,55
55.266666666666666,54
54.666666666666664,54
54.53333333333333,54
54.46666666666667,53
54.13333333333333,53
54.13333333333333,53
53.53333333333333,53
53.333333333333336,53
52.733333333333334,52
52.266666666666666,53
52.2,52
51.733333333333334,52
51.6,52
51.733333333333334,52
51.8,52
51.733333333333334,52
51.46666666666667,52
51.46666666666667,52
51.266666666666666,52
51.266666666666666,51
51.06666666666667,51
50.8,52
50.8,52
50.8,53
51.46666666666667,53
51.53333333333333,54
52.2,54
53.0,54
53.666666666666664,54
54.0,55
54.2,55
54.06666666666667,55
53.86666666666667,55
53.86666666666667,56
54.0,56
54.266666666666666,57
54.4,58
55.93333333333333,58
56.53333333333333,59
57.4,59
57.8,59
58.333333333333336,59
58.93333333333333,59
59.0,59
59.0,58
58.53333333333333,57
57.2,56
57.0,55
56.733333333333334,54
55.93333333333333,54
54.8,54
53.6,54
53.2,54
53.2,55
53.333333333333336,55
53.46666666666667,56
53.53333333333333,56
53.6,56
53.6,57
55.266666666666666,58
56.6,59
57.46666666666667,60
58.8,61
59.733333333333334,63
60.46666666666667,65
60.53333333333333,66
60.6,68
61.333333333333336,69
61.86666666666667,71
61.8,72
61.733333333333334,74
62.0,74
62.2,74
62.53333333333333,76
63.6,75
63.8,75
63.6,74
63.6,75
63.46666666666667,74
63.06666666666667,73
63.0,73
62.733333333333334,73
62.266666666666666,72
62.266666666666666,71
61.8,70
61.666666666666664,69
60.86666666666667,67
60.666666666666664,67
60.2,65
59.86666666666667,64
59.666666666666664,63
59.86666666666667,62
59.8,61
60.13333333333333,60
60.06666666666667,59
59.6,59
59.46666666666667,58
59.666666666666664,58
58.86666666666667,58
58.733333333333334,57
58.2,57
57.733333333333334,57
57.4,57
56.4,57
56.4,56
55.6,56
55.4,56
55.46666666666667,55
55.666666666666664,55
55.86666666666667,54
55.266666666666666,54
54.8,54
53.53333333333333,53
53.733333333333334,53
53.6,53
53.13333333333333,53
52.46666666666667,52
51.666666666666664,52
51.666666666666664,51
51.46666666666667,52
51.6,52
51.53333333333333,50
50.733333333333334,49
49.6,47
48.06666666666667,47
47.06666666666667,46
46.46666666666667,46
46.4,46
45.8,46
45.46666666666667,45
46.13333333333333,45
46.4,45
46.2,45
45.86666666666667,46
46.2,45
45.93333333333333,46
46.666666666666664,46
46.86666666666667,47
47.266666666666666,47
47.53333333333333,48
48.13333333333333,51
49.8,52
52.333333333333336,52
53.2,52
53.86666666666667,53
54.733333333333334,53
54.333333333333336,53
53.666666666666664,53
54.666666666666664,54
54.733333333333334,53
54.93333333333333,53
54.86666666666667,53
54.93333333333333,52
54.333333333333336,52
54.266666666666666,52
54.06666666666667,52
53.6,52
53.6,51
53.266666666666666,51
52.8,51
51.93333333333333,51
51.06666666666667,49
49.13333333333333,47
45.666666666666664,47
45.93333333333333,46
45.4,48
46.46666666666667,49
46.93333333333333,51
48.733333333333334,50
49.6,49
49.86666666666667,50
49.86666666666667,49
49.86666666666667,51
49.86666666666667,52
50.8,53
51.2,55
51.86666666666667,55
52.53333333333333,56
53.46666666666667,56
53.86666666666667,57
54.86666666666667,57
55.13333333333333,58
55.266666666666666,58
55.4,58
56.733333333333334,58
56.93333333333333,58
56.8,58
56.6,58
56.6,57
56.266666666666666,57
55.8,57
55.666666666666664,58
55.6,58
55.2,58
55.266666666666666,58
55.733333333333334,58
57.333333333333336,58
57.733333333333334,57
57.86666666666667,56
57.266666666666666,55
55.86666666666667,55
55.2,55
54.93333333333333,54
54.4,54
53.6,54
53.13333333333333,54
52.666666666666664,53
52.2,53
52.13333333333333,54
52.666666666666664,53
52.666666666666664,53
52.666666666666664,53
53.0,52
52.53333333333333,51
51.53333333333333,50
50.666666666666664,48
49.0,46
46.0,46
46.266666666666666,44
45.93333333333333,45
45.733333333333334,45
44.666666666666664,45
45.0,45
45.8,46
46.4,47
46.86666666666667,48
47.2,50
47.733333333333334,51
48.6,51
49.4,52
49.93333333333333,52
50.6,53
51.53333333333333,53
52.13333333333333,53
53.0,53
53.86666666666667,53
54.2,53
54.6,53
54.86666666666667,53
55.13333333333333,54
54.666666666666664,55
54.666666666666664,55
55.06666666666667,55
55.4,56
55.46666666666667,56
55.13333333333333,56
54.46666666666667,56
54.46666666666667,56
54.13333333333333,56
53.93333333333333,56
54.86666666666667,56
55.2,56
55.266666666666666,55
55.666666666666664,55
55.4,54
55.2,54
54.86666666666667,54
54.6,54
54.333333333333336,53
53.4,53
53.333333333333336,52
52.93333333333333,51
52.8,49
51.6,47
47.53333333333333,44
44.53333333333333,42
42.46666666666667,40
41.0,39
38.53333333333333,37
37.06666666666667,34
35.666666666666664,33
35.266666666666666,34
34.8,34
34.13333333333333,36
34.6,40
36.0,39
36.0,39
35.93333333333333,38
35.8,38
35.733333333333334,39
35.6,39
35.333333333333336,40
36.266666666666666,40
36.333333333333336,40
38.0,41
40.53333333333333,43
41.86666666666667,43
43.4,45
45.06666666666667,47
44.8,49
45.46666666666667,50
49.266666666666666,52
51.53333333333333,53
52.46666666666667,53
